Submission ID,Respondent ID,Submitted at,Which city do you live in?,Age,Gender,Year of Study,Income Range per month (LKR),Do you prefer online shopping or in-store shopping?,How many times per month do you shop online?,Social Media,Untitled short answer field,Shopping Platforms,Untitled short answer field,How often do you shop for clothes each month?,How much money do you typically spend on clothes/clothes per month (Rs/LKR)?,Are you satisfied with the current price ranges for clothes in stores?,Are you happy with Sri Lanka's current fashion styles?,What do you do when you want to discard your old clothes?,How many pieces of clothing do you discard each year?,Do you have once or never worn clothing items in your wardrobe? ,How many once or never worn clothing items do you have?,How many functions do you have to attend per year?,How often do you re-wear a party-wear?,How much do you usually spend or willing to pay on a party wear?,How frequently do you post your photos with new party wear on social media?,How frequently do you post your photos with the same party wear (mentioned in above) on social media?,"Would you like to consider, [wearing a borrowed clothing item (for special occasions, parties, etc.)?
]","Would you like to consider, [wearing a rented clothing item (for special occasions, parties, etc.)?
]","Would you like to consider, [buying a used (but in good condition) clothing item for an affordable price (for special occasions, parties, etc.)?
]","Would you like to consider, [Do you think that there is a potential for disease transmission when wearing second-hand or previously used clothes?]","Would you like to consider, [If an app allows you to buy, rent, and resell clothes, would you like to use it?
]",What are your main drawbacks when using a second-hand clothing app? (Select all that apply),What are your main drawbacks when using a second-hand clothing app? (Select all that apply) (Quality of Clothing),What are your main drawbacks when using a second-hand clothing app? (Select all that apply) (Scams (Trust Issues)),What are your main drawbacks when using a second-hand clothing app? (Select all that apply) (Price & Payment Methods),What are your main drawbacks when using a second-hand clothing app? (Select all that apply) (Delivery Charges),What are your main drawbacks when using a second-hand clothing app? (Select all that apply) (Self-Esteem),What are your main drawbacks when using a second-hand clothing app? (Select all that apply) (Other),Untitled short answer field,What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply),"What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Party wear (dresses, sarees, lehengas, suits))","What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Casual wear (office wear, outdoor wear))",What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Home wear),What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Sports wear),"What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Footwear (shoes, heels, sandals))",What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Accessories),What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Bags & Luggage),What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Books),"What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Electronic devices (phones, laptops, calculators etc.))",What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Household appliances),What other second-hand items are you interested in buying/renting/selling through an app? (Select all that apply) (Not interested in any Second-Hand items),If you see a celebrity wearing a dress and you have the chance to buy/rent it at an affordable price would you be interested?,"If you could post a picture of yourself wearing clothes on the app and someone wants to buy or rent it, would you be interested in selling or renting it?",What would make a second-hand clothing app most appealing to you?,Untitled short answer field,Do you have any additional comments or suggestions for a second-hand clothing app?
8yPQXk,bNyldL,2024-09-11 1:41:06,Kandy,22 - 25,Female,4th year,50K - 100K,Online,Once or Twice,Instagram,,Other,"Koko, shein ",Once or Twice,"2,000 - 4,000",4,3,Donate,1 - 5,Yes,4-6,1 - 5,Thrice or More,"2,500 - 5,000",Sometimes,Always,Yes,No,No,Yes,No,"Quality of Clothing, Scams (Trust Issues)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Books, Electronic devices (phones, laptops, calculators etc.), Household appliances",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,No,No,Save money,,"Yeah, its better to implement a method to send them for the dry cleaning and then show the status as ""dry cleaned : date"" or something because I don't like to wear strangers clothes. when it comes to the relatives, siblings and cousins I am totally fine but never from a stranger.

But you can make sure they are cleaned or not, if they are with the seller so they should attach the dry cleaned receipt otherwise we will not let them rent or sell"
x1P6jJ,XOkOqO,2024-09-11 5:13:26,Kandy,25+,Male,4th year,Not Employed,In-Store,Once or Twice,Facebook,,Daraz,,Once or Twice,"Below 2,000",2,3,Donate,1 - 5,No,None,1 - 5,Thrice or More,"2,500 - 5,000",Never,Never,Yes,Yes,No,Yes,Yes,"Quality of Clothing, Scams (Trust Issues)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No,"Yes, I would sell",Sustainability of the service,,
5DGQMQ,N8QMxO,2024-09-11 5:43:13,Peradeniya,25+,Male,4th year,Not Employed,Online,Once or Twice,"Facebook, WhatsApp",,"Daraz, AliExpress, eBay",,Once or Twice,"2,000 - 4,000",3,3,Donate,None,No,None,1 - 5,Thrice or More,"2,500 - 5,000",Never,Never,Yes,Yes,Yes,Yes,Yes,Quality of Clothing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Casual wear (office wear, outdoor wear), Sports wear, Bags & Luggage, Electronic devices (phones, laptops, calculators etc.)",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,No,"Yes, I would rent",Sustainability of the service,,
el7lRJ,L5Najz,2024-09-11 6:02:43,Matale,25+,Male,4th year,10K - 50K,In-Store,Once or Twice,"Facebook, Instagram",,"AliExpress, Daraz",,Never,"4,000 - 6,000",2,2,Recycle,1 - 5,Yes,1 - 3,1 - 5,Thrice or More,"2,500 - 5,000",Never,Never,Yes,Yes,No,Yes,Yes,"Quality of Clothing, Scams (Trust Issues), Price & Payment Methods",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Accessories, Books",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,No,No,Opportunity for extra income,,
DPJPlZ,x91lYJ,2024-09-11 6:11:15,Hambantota ,25+,Female,4th year,Not Employed,Online,Once or Twice,"Facebook, TikTok",,"Daraz, AliExpress",,Once or Twice,"2,000 - 4,000",3,3,Discard,1 - 5,No,None,1 - 5,Once or Twice,"2,500 - 5,000",Never,Never,No,Yes,Yes,No,Yes,"Quality of Clothing, Scams (Trust Issues)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Bags & Luggage",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,No,No,Sustainability of the service,,
qMKXAY,AWGjZl,2024-09-11 6:24:29,Panadura ,25+,Female,4th year,Not Employed,In-Store,Once or Twice,"Other, Facebook",,AliExpress,,Once or Twice,"2,000 - 4,000",3,3,Donate,None,Yes,1 - 3,None,Once or Twice,"2,500 - 5,000",Sometimes,Rarely,Yes,No,No,No,No,Quality of Clothing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Not interested in any Second-Hand items,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,No,"Yes, I would sell",Opportunity for extra income,,
G4JaGj,vq1K2A,2024-09-11 6:31:01,Colombo,22 - 25,Female,1st year,Not Employed,In-Store,Once or Twice,WhatsApp,,Other,,Once or Twice,"4,000 - 6,000",2,3,Donate,10+,Yes,1 - 3,1 - 5,Once or Twice,"10,000+",Always,Never,Yes,No,Yes,No,Yes,"Quality of Clothing, Price & Payment Methods, Self-Esteem",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,,"Casual wear (office wear, outdoor wear), Home wear, Footwear (shoes, heels, sandals), Accessories",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Yes, I would rent","Yes, I would sell",Functionality,,
NQJvjG,8jyMeA,2024-09-11 6:31:04,Kandy,18 -21,Male,1st year,Not Employed,In-Store,Once or Twice,Facebook,,Daraz,,Never,"4,000 - 6,000",1,4,Donate,6 - 10,Yes,1 - 3,1 - 5,Once or Twice,"5,000 - 10,000",Always,Rarely,No,Yes,No,No,Yes,"Quality of Clothing, Scams (Trust Issues), Delivery Charges",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,,"Footwear (shoes, heels, sandals), Bags & Luggage, Books, Electronic devices (phones, laptops, calculators etc.)",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,No,"Yes, I would sell",Opportunity for extra income,,
6yOGge,YVvkdq,2024-09-11 6:31:06,Balangoda ,22 - 25,Male,1st year,Not Employed,In-Store,Never,Facebook,,"Daraz, AliExpress",,Never,"Below 2,000",3,2,Discard,1 - 5,No,None,1 - 5,Once or Twice,"Less than 2,500",Rarely,Rarely,Yes,Yes,No,Yes,Yes,"Quality of Clothing, Price & Payment Methods, Self-Esteem",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Books, Casual wear (office wear, outdoor wear)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,No,"Yes, I would rent",Sustainability of the service,,
g17XEN,P8ek0Q,2024-09-11 6:31:09,Kurunegala,22 - 25,Male,1st year,Below 10K,In-Store,Once or Twice,Facebook,,Daraz,,Once or Twice,"4,000 - 6,000",3,3,Discard,1 - 5,No,None,10+,Once or Twice,"2,500 - 5,000",Sometimes,Sometimes,Yes,Yes,Yes,Yes,Yes,"Quality of Clothing, Delivery Charges, Price & Payment Methods",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Casual wear (office wear, outdoor wear), Books, Electronic devices (phones, laptops, calculators etc.)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Yes, I would buy","Yes, I would sell",Opportunity for extra income,,
6yOGoO,VoADYE,2024-09-11 6:31:35,Kandy,22 - 25,Male,1st year,Not Employed,In-Store,Never,Telegram,,AliExpress,,Never,"Below 2,000",3,4,Recycle,1 - 5,Yes,1 - 3,1 - 5,Once or Twice,"Less than 2,500",Never,Never,Yes,Yes,Yes,No,Yes,"Quality of Clothing, Price & Payment Methods, Self-Esteem",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,,"Casual wear (office wear, outdoor wear), Books, Electronic devices (phones, laptops, calculators etc.)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,No,"Yes, I would sell",Opportunity for extra income,,
DPJ9Qj,qjMvWd,2024-09-11 6:31:42,Galle,22 - 25,Female,1st year,Below 10K,In-Store,Once or Twice,"Instagram, Facebook",,"Daraz, AliExpress, Shein",,Once or Twice,"2,000 - 4,000",2,3,Recycle,6 - 10,Yes,6+,1 - 5,Once or Twice,"5,000 - 10,000",Rarely,Rarely,Yes,Yes,Yes,Yes,Yes,"Quality of Clothing, Scams (Trust Issues), Price & Payment Methods",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Casual wear (office wear, outdoor wear), Household appliances, Books",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"Yes, I would buy","Yes, I would sell",Opportunity for extra income,,Good idea..i would really like it..bcz nowadys clothes are not fair affordable 
G4JaW2,92yMv1,2024-09-11 6:31:44,Kandy,22 - 25,Male,1st year,Not Employed,In-Store,Never,Facebook,,Daraz,,Once or Twice,"4,000 - 6,000",3,4,Donate,6 - 10,Yes,1 - 3,6 - 10,Thrice or More,"5,000 - 10,000",Sometimes,Rarely,No,Yes,Yes,No,Yes,"Scams (Trust Issues), Self-Esteem",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,"Footwear (shoes, heels, sandals), Accessories, Books, Household appliances",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,No,"Yes, I would sell",Sustainability of the service,,
x1PEOJ,B8l0DA,2024-09-11 6:31:48,Attapitiya,Below 18,Male,4th year,Not Employed,In-Store,Never,Other,Pin potha,Other,Kopi kade,Never,"Below 2,000",5,5,Recycle,10+,No,None,None,Thrice or More,"10,000+",Never,Never,Yes,No,Yes,No,Yes,Quality of Clothing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Books,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,No,No,Other,No,
NQJvGW,kO1vWJ,2024-09-11 6:31:48,Gampola ,22 - 25,Male,1st year,Not Employed,In-Store,Never,Facebook,,AliExpress,,Never,"Below 2,000",2,4,Donate,10+,Yes,None,1 - 5,Thrice or More,"2,500 - 5,000",Rarely,Rarely,Yes,Yes,Yes,No,Yes,Quality of Clothing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Electronic devices (phones, laptops, calculators etc.)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,No,No,Sustainability of the service,,
1yJzqO,8jyM8Y,2024-09-11 6:31:53,Galle,22 - 25,Male,1st year,Not Employed,In-Store,Once or Twice,Facebook,,"eBay, Kapruka",,Once or Twice,"6,000 - 8,000",2,5,Donate,1 - 5,Yes,None,1 - 5,Once or Twice,"10,000+",Sometimes,Never,Yes,Yes,Yes,Yes,Yes,Quality of Clothing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Yes, I would buy","Yes, I would sell",Sustainability of the service,,
G4Ja82,O8dWLY,2024-09-11 6:31:58,Kandy ,22 - 25,Female,1st year,Not Employed,In-Store,Once or Twice,Instagram,,AliExpress,,Once or Twice,"Below 2,000",3,3,Donate,1 - 5,No,None,1 - 5,Once or Twice,"2,500 - 5,000",Sometimes,Sometimes,Yes,Yes,Yes,No,Yes,"Quality of Clothing, Scams (Trust Issues), Price & Payment Methods, Self-Esteem, Delivery Charges",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Footwear (shoes, heels, sandals)",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Yes, I would buy","Yes, I would sell",Opportunity for extra income,,
r1dRx5,P8ekXd,2024-09-11 6:32:00,Kandy,22 - 25,Male,1st year,Not Employed,Online,Once or Twice,"Facebook, Instagram, WhatsApp",,"Daraz, eBay, AliExpress",,Once or Twice,"2,000 - 4,000",2,3,Donate,10+,Yes,1 - 3,6 - 10,Thrice or More,"2,500 - 5,000",Sometimes,Sometimes,Yes,No,No,Yes,Yes,Quality of Clothing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Sports wear, Bags & Luggage, Electronic devices (phones, laptops, calculators etc.)",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"Yes, I would buy","Yes, I would rent",Save money,,No
JxJbN7,e9lv7o,2024-09-11 6:32:10,Gampola,22 - 25,Male,1st year,Not Employed,In-Store,Never,Facebook,,eBay,,Never,"Below 2,000",2,2,Recycle,None,No,None,1 - 5,Once or Twice,"Less than 2,500",Rarely,Always,Yes,Yes,No,Yes,Yes,Delivery Charges,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,"Home wear, Sports wear, Footwear (shoes, heels, sandals), Accessories, Books, Electronic devices (phones, laptops, calculators etc.)",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,No,"Yes, I would sell",Save money,,"Use this for rent party wears,rent woods ,sell electric accessories "
9yEPL4,XOkzMV,2024-09-11 6:32:16,Kandy,18 -21,Male,1st year,50K - 100K,In-Store,Once or Twice,Facebook,,"Daraz, AliExpress",,Once or Twice,"2,000 - 4,000",3,4,Discard,1 - 5,Yes,1 - 3,1 - 5,Thrice or More,"2,500 - 5,000",Rarely,Rarely,Yes,Yes,No,Yes,Yes,"Scams (Trust Issues), Quality of Clothing, Price & Payment Methods",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Footwear (shoes, heels, sandals), Accessories, Books, Electronic devices (phones, laptops, calculators etc.)",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,No,No,Functionality,,
AGqYPo,vq1Kx8,2024-09-11 6:32:35,Benthara ,22 - 25,Male,1st year,Not Employed,In-Store,Never,"Facebook, Instagram",,"Daraz, eBay, AliExpress",,Never,"Below 2,000",1,3,Donate,1 - 5,No,None,1 - 5,Once or Twice,"2,500 - 5,000",Sometimes,Sometimes,Yes,Yes,Yes,No,Yes,Quality of Clothing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Books, Bags & Luggage",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Yes, I would rent","Yes, I would rent",Save money,,
by8M50,x91v09,2024-09-11 6:32:45,Jaffna ,18 -21,Female,1st year,Not Employed,In-Store,Once or Twice,WhatsApp,,AliExpress,,Once or Twice,"Below 2,000",2,3,Discard,10+,No,None,10+,Once or Twice,"5,000 - 10,000",Rarely,Rarely,Yes,Yes,Yes,No,Yes,Quality of Clothing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Yes, I would rent",No,Functionality,,
MqJ2X8,0oyaoP,2024-09-11 6:33:05,Vavuniya ,22 - 25,Female,1st year,Below 10K,In-Store,Never,Instagram,,Daraz,,Never,"Below 2,000",5,5,Recycle,1 - 5,No,None,1 - 5,Thrice or More,"5,000 - 10,000",Never,Never,Yes,Yes,No,No,Yes,Quality of Clothing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Not interested in any Second-Hand items,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,No,No,Other,1,
yREbMd,5EDMEv,2024-09-11 6:33:06,Galle,22 - 25,Male,1st year,Not Employed,In-Store,Once or Twice,"Facebook, Other",,"AliExpress, Daraz, Other",,Thrice or More,"2,000 - 4,000",2,3,Donate,1 - 5,No,1 - 3,1 - 5,Once or Twice,"2,500 - 5,000",Rarely,Rarely,Yes,Yes,Yes,No,Yes,Scams (Trust Issues),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Casual wear (office wear, outdoor wear)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Yes, I would buy","Yes, I would sell",Sustainability of the service,,
G4JV6O,R8ak8v,2024-09-11 6:33:09,Kandy,22 - 25,Male,1st year,Not Employed,In-Store,Never,Instagram,,AliExpress,,Once or Twice,"2,000 - 4,000",2,3,Donate,1 - 5,No,1 - 3,6 - 10,Thrice or More,"2,500 - 5,000",Sometimes,Sometimes,Yes,Yes,No,Yes,Yes,"Quality of Clothing, Price & Payment Methods, Delivery Charges",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Books, Electronic devices (phones, laptops, calculators etc.), Household appliances",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,No,"Yes, I would sell",Opportunity for extra income,,
NQJxDp,r21v2p,2024-09-11 6:33:12,Kegalle ,22 - 25,Female,1st year,Not Employed,In-Store,Never,Instagram,,Shein,,Once or Twice,"4,000 - 6,000",2,2,Donate,6 - 10,Yes,6+,1 - 5,Once or Twice,"5,000 - 10,000",Always,Rarely,Yes,Yes,Yes,No,Yes,"Quality of Clothing, Scams (Trust Issues), Price & Payment Methods, Delivery Charges",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Casual wear (office wear, outdoor wear)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No,"Yes, I would sell",Sustainability of the service,,
AGqYKl,qjMvj8,2024-09-11 6:33:15,Kandy ,18 -21,Male,1st year,Not Employed,In-Store,Never,"Instagram, Facebook",,"Daraz, AliExpress",,Once or Twice,"Below 2,000",2,4,Donate,1 - 5,Yes,1 - 3,10+,Thrice or More,"5,000 - 10,000",Always,Sometimes,Yes,No,No,No,Yes,"Quality of Clothing, Scams (Trust Issues)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Electronic devices (phones, laptops, calculators etc.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,No,No,Save money,,
g17VeJ,6ryMro,2024-09-11 6:33:19,Kandy,22 - 25,Male,1st year,Not Employed,In-Store,Never,Facebook,,Daraz,,Once or Twice,"Below 2,000",1,3,Donate,1 - 5,No,None,1 - 5,Once or Twice,"2,500 - 5,000",Sometimes,Rarely,Yes,Yes,No,No,Yes,"Scams (Trust Issues), Self-Esteem, Quality of Clothing",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Books, Electronic devices (phones, laptops, calculators etc.), Household appliances",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"Yes, I would rent","Yes, I would sell",Sustainability of the service,,
O9JZlM,L5Nkvz,2024-09-11 6:33:24,Matara,22 - 25,Male,1st year,Not Employed,Online,Once or Twice,Facebook,,Daraz,,Once or Twice,"2,000 - 4,000",3,3,Donate,6 - 10,Yes,1 - 3,6 - 10,Once or Twice,"5,000 - 10,000",Sometimes,Never,Yes,No,Yes,No,Yes,Price & Payment Methods,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,"Sports wear, Bags & Luggage, Books, Footwear (shoes, heels, sandals)",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Yes, I would buy","Yes, I would rent",Sustainability of the service,,
VAMaQj,yeRzj6,2024-09-11 6:33:27,Matara,22 - 25,Female,1st year,Not Employed,In-Store,Thrice or More,"Facebook, Instagram, TikTok, WhatsApp, Telegram",,"AliExpress, Daraz, Kapruka",,Thrice or More,"4,000 - 6,000",2,2,Donate,10+,Yes,6+,10+,Thrice or More,"2,500 - 5,000",Always,Never,Yes,No,No,Yes,Yes,Quality of Clothing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Footwear (shoes, heels, sandals), Books",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Yes, I would rent","Yes, I would rent",Save money,,
0yJYB9,jGYv5Y,2024-09-11 6:33:40,Kandy,18 -21,Female,1st year,Below 10K,Online,Thrice or More,Instagram,,"AliExpress, Shein, Daraz",,Thrice or More,"6,000 - 8,000",3,2,Donate,1 - 5,Yes,6+,1 - 5,Once or Twice,"5,000 - 10,000",Never,Never,No,No,Yes,No,Yes,Quality of Clothing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Casual wear (office wear, outdoor wear), Footwear (shoes, heels, sandals), Bags & Luggage, Party wear (dresses, sarees, lehengas, suits), Books, Electronic devices (phones, laptops, calculators etc.)",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"Yes, I would buy",No,Sustainability of the service,,
YvMb0N,R8akvQ,2024-09-11 6:33:40,Nawalapitiya,22 - 25,Male,1st year,Not Employed,In-Store,Once or Twice,WhatsApp,,"AliExpress, Daraz",,Never,"Below 2,000",2,2,Donate,1 - 5,No,None,1 - 5,Once or Twice,"2,500 - 5,000",Rarely,Rarely,Yes,No,No,No,Yes,"Price & Payment Methods, Delivery Charges, Quality of Clothing, Scams (Trust Issues), Self-Esteem",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,"Casual wear (office wear, outdoor wear), Home wear, Sports wear, Footwear (shoes, heels, sandals), Bags & Luggage, Books",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Yes, I would buy","Yes, I would rent",Opportunity for extra income,,
o17ZRb,VoADv6,2024-09-11 6:33:42,Gampaha ,22 - 25,Female,1st year,Not Employed,In-Store,Once or Twice,TikTok,,AliExpress,,Once or Twice,"Below 2,000",2,2,Donate,1 - 5,No,6+,1 - 5,Once or Twice,"Less than 2,500",Rarely,Never,Yes,No,No,Yes,Yes,Quality of Clothing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits), Books, Electronic devices (phones, laptops, calculators etc.)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Yes, I would buy","Yes, I would sell",Save money,,
QWJq7X,R8akbQ,2024-09-11 6:34:03,Kandy,18 -21,Female,1st year,Not Employed,In-Store,Once or Twice,"Facebook, WhatsApp",,"Daraz, AliExpress, eBay",,Once or Twice,"4,000 - 6,000",2,5,Donate,None,Yes,None,1 - 5,Once or Twice,"2,500 - 5,000",Rarely,Rarely,Yes,No,Yes,Yes,Yes,Delivery Charges,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Yes, I would buy","Yes, I would sell",Save money,,
7zVYN0,VoADb6,2024-09-11 6:34:04,Kandy ,18 -21,Male,1st year,Not Employed,In-Store,Once or Twice,Instagram,,"Daraz, AliExpress",,Once or Twice,"Below 2,000",3,3,Recycle,1 - 5,Yes,1 - 3,1 - 5,Once or Twice,"5,000 - 10,000",Rarely,Never,No,Yes,No,Yes,Yes,"Scams (Trust Issues), Quality of Clothing",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Accessories, Household appliances, Electronic devices (phones, laptops, calculators etc.)",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"Yes, I would buy",No,Save money,,
agD16b,gW1vvP,2024-09-11 6:34:45,Trincomalee,22 - 25,Female,1st year,Below 10K,In-Store,Never,"Other, Facebook",,AliExpress,,Never,"Below 2,000",3,2,Recycle,None,Yes,1 - 3,1 - 5,Once or Twice,"Less than 2,500",Rarely,Rarely,No,Yes,Yes,Yes,No,Quality of Clothing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Party wear (dresses, sarees, lehengas, suits)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No,"Yes, I would rent",Save money,,
v1OaB0,kO1vzr,2024-09-11 6:35:02,Kandy ,22 - 25,Male,1st year,Not Employed,In-Store,Once or Twice,Facebook,,Daraz,,Once or Twice,"2,000 - 4,000",3,3,Donate,1 - 5,Yes,1 - 3,1 - 5,Once or Twice,"Less than 2,500",Sometimes,Sometimes,Yes,Yes,Yes,Yes,Yes,Quality of Clothing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Casual wear (office wear, outdoor wear)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No,"Yes, I would sell",Other,nothing,
